allocation_id,note_id,id
3,308,1
5,308,2
7,308,4
8,4,5
13,308,8
14,4,9
15,5,10
17,308,11
18,4,12
26,5,15
50,10,20
53,13,21
55,13,613
58,13,24
58,14,25
58,18,26
64,19,27
70,19,29
73,19,30
75,311,31
83,311,617
128,308,32
129,34,33
130,369,584
131,14,34
131,29,35
131,30,36
131,35,37
132,14,38
132,29,39
132,30,40
132,35,41
133,369,585
134,14,42
134,29,43
134,30,44
134,35,45
134,36,46
134,37,47
152,308,48
159,38,49
160,39,50
162,29,51
162,30,52
162,35,53
162,37,54
172,38,55
173,44,56
173,45,57
174,44,58
174,45,59
176,45,60
176,308,61
177,45,62
180,308,581
182,29,63
182,30,64
182,37,65
182,47,66
187,38,67
198,308,580
204,38,68
208,38,69
210,29,70
210,30,71
210,37,72
210,47,73
216,308,619
219,38,74
224,38,577
226,308,75
231,308,578
240,38,76
241,308,579
242,29,77
242,30,78
242,37,79
242,47,80
243,308,81
244,308,82
246,38,83
251,308,84
252,308,85
256,308,86
260,38,87
261,308,88
262,37,89
263,308,90
267,308,91
273,53,92
275,37,93
276,308,94
277,308,95
279,54,96
281,308,97
282,55,98
283,308,99
289,308,100
292,308,101
296,37,102
348,58,576
350,58,564
353,58,565
355,58,566
357,58,567
358,56,568
361,58,569
362,56,570
363,58,571
364,56,572
366,58,573
367,56,574
392,64,563
396,66,104
396,67,105
396,68,106
398,64,559
402,66,107
402,67,108
402,68,109
405,64,560
409,66,110
409,67,111
409,68,112
412,64,561
416,66,113
416,67,114
416,68,115
421,69,562
427,69,558
434,68,116
436,68,117
436,72,476
472,335,477
506,85,120
519,68,121
519,72,483
524,66,484
524,67,485
524,68,486
550,93,123
553,93,124
561,96,125
563,94,126
572,99,127
573,99,128
574,99,129
575,99,130
576,99,131
579,103,132
580,338,487
581,102,626
585,106,133
585,107,134
588,107,137
589,107,138
591,107,139
592,109,140
593,108,141
594,109,142
595,108,143
597,109,144
598,111,145
602,111,146
602,112,147
602,113,148
606,111,149
606,112,150
606,113,151
610,116,152
623,345,492
625,345,493
627,123,153
628,67,154
628,123,155
631,345,494
634,124,156
634,126,157
637,67,158
637,126,159
641,67,160
641,126,161
641,127,162
645,67,163
645,126,164
646,67,165
647,67,166
647,126,167
648,67,168
648,126,169
649,122,495
650,67,170
650,111,171
650,113,172
651,135,173
652,126,174
652,132,175
654,132,176
655,135,177
656,126,178
659,137,179
660,135,180
661,126,181
661,132,182
663,67,183
663,133,184
664,132,185
664,137,186
665,126,187
