id,parent_id,background_color,font_color,lft,rgt,lvl,root,sorting,created_at,updated_at
5,96,#a577a5,#fafafa,10,11,1,96,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
6,68,#aea3c1,#FAFAFA,2,3,1,68,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
9,,#cde4e4,,1,2,0,9,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
10,,#9AC8C8,,1,2,0,10,999,"2015-08-05 15:56:28","2015-08-10 15:44:33"
12,179,#c2b3a5,,26,27,1,179,999,"2015-08-05 15:56:29","2015-08-05 15:56:29"
15,,#fdd6c2,,1,2,0,15,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
19,,#d7e3a9,,1,2,0,19,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
21,100,#9db86c,,2,3,1,100,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
23,61,#6f7f98,#FAFAFA,5,6,2,63,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
27,,#d685ac,,1,2,0,27,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
28,,#9c826a,#FAFAFA,1,2,0,28,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
30,,#674c7a,#FAFAFA,1,2,0,30,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
32,180,#754150,#FAFAFA,2,3,1,180,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
34,178,#8f1836,#FAFAFA,2,3,1,178,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
35,,#c8303d,#FAFAFA,1,2,0,35,999,"2015-08-05 15:56:29","2015-08-05 15:56:29"
36,180,#f55346," #fafafa",4,5,1,180,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
41,60,#65791e,#FAFAFA,23,24,2,63,999,"2015-08-05 15:56:29","2015-08-05 15:56:29"
42,180,#db6b58,#FAFAFA,8,9,1,180,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
46,,#4b6b60,#FAFAFA,1,2,0,46,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
47,,#FDD6C2,,1,4,0,47,999,"2015-08-05 15:56:28","2015-11-23 16:04:27"
48,61,#754150,#FAFAFA,7,8,2,63,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
52,,#6aadf8,#FAFAFA,1,2,0,52,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
55,,#2d4e0a,#FAFAFA,1,2,0,55,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
60,63,#a546d6,#FAFAFA,20,27,1,63,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
61,63,#771fa5,#FAFAFA,4,19,1,63,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
62,63,#a51f97,#fafafa,2,3,1,63,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
63,,#a7a7d3,,1,28,0,63,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
64,61,#b9086c,#FAFAFA,9,10,2,63,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
65,,#e1a2c3,,1,2,0,65,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
66,,#3557e9,#FAFAFA,1,2,0,66,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
68,,#5fe9e7,,1,6,0,68,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
69,61,#5edd26,,11,12,2,63,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
70,,#9eee12,,1,2,0,70,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
71,,#F0E68C,,1,2,0,71,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
72,179,#ffe400,,12,15,1,179,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
73,,#ffc000,,1,2,0,73,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
74,180,#ff9c00,,6,7,1,180,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
76,,#FF3C00,#FAFAFA,1,2,0,76,999,"2015-08-05 15:56:28","2017-07-24 18:22:41"
77,179,#f30000,#FAFAFA,6,7,1,179,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
79,,#f0d992,,1,2,0,79,999,"2015-08-05 15:56:28","2015-08-05 15:56:28"
