id,code,sorting,created_at,updated_at
1,A1A,,"2015-07-25 20:07:45","2015-08-06 13:43:55"
2,A1B,,"2015-07-25 20:07:45","2015-08-06 14:16:49"
3,A2A,,"2015-07-25 20:07:45","2015-08-06 14:16:43"
4,A3E,,"2015-07-25 20:07:45","2015-08-06 14:16:38"
5,AARS,,"2015-07-25 20:07:45","2015-07-25 21:49:31"
6,AAS,,"2015-07-25 20:07:45","2015-07-25 21:50:17"
7,ACARS,,"2015-07-25 20:07:45","2015-07-25 21:50:32"
8,ACC,,"2015-07-25 20:07:45","2015-07-25 21:50:48"
9,ACC/U,,"2015-07-25 20:07:45","2015-07-25 21:51:13"
10,ACC/L,,"2015-07-25 20:07:45","2015-07-25 21:51:02"
11,ACK,,"2015-07-25 20:07:45","2015-08-06 21:45:35"
12,ACP,,"2015-07-25 20:07:45","2015-08-06 21:45:51"
13,A/D,,"2015-07-25 20:07:45","2016-08-30 11:45:24"
14,ADC,,"2015-07-25 20:07:45","2015-07-25 21:53:25"
15,ADEOS,,"2015-07-25 20:07:45","2015-08-06 21:46:26"
16,ADP,,"2015-07-25 20:07:45","2015-07-25 21:53:53"
17,ADPE,,"2015-07-25 20:07:45","2015-07-25 21:54:06"
18,ADR,,"2015-07-25 20:07:45","2015-07-25 21:54:17"
19,ADS,,"2015-07-25 20:07:45","2015-07-25 21:54:32"
20,AES,,"2015-07-25 20:07:45","2015-07-25 21:54:43"
21,AFA,,"2015-07-25 20:07:45","2015-07-25 21:54:54"
22,AFC,,"2015-07-25 20:07:45","2015-07-25 21:55:06"
23,AFOS,,"2015-07-25 20:07:45","2015-07-25 21:55:19"
24,AGA,,"2015-07-25 20:07:45","2015-08-06 22:24:10"
25,AGC,,"2015-07-25 20:07:45","2015-07-25 21:55:47"
26,AIS,,"2015-07-25 20:07:45","2015-08-06 21:47:37"
27,AIS-SART,,"2015-07-25 20:07:45","2015-08-06 21:53:20"
28,AL,,"2015-07-25 20:07:45","2015-07-25 22:00:21"
29,ALC,,"2015-07-25 20:07:45","2016-06-06 15:17:39"
