id,translatable_id,explanation,locale
1,1,"Radiotelegrafie s klíčováním nemodulované nosné vlny, příjem sluchem (morseovka)",cs
2,2,"Radiotelegrafie s klíčováním nemodulované nosné vlny, příjem automaticky (dálnopis)",cs
3,3,"Radiotelegrafie s klíčováním nosné vlny modulované slyšitelným kmitočtem, příjem sluchem. Je povoleno pouze na záchranných člunech a jako volací značka leteckých radiomajáků.",cs
4,4,"Radiotelefonie nebo rozhlas s amplitudovou modulací s dvojím postranním pásmem",cs
5,5,"Automatický letadlový ohlašovací systém, anglicky Automated Aircraft Reporting System",cs
6,6,"(1) Přizpůsobivý anténní systém, anglicky Adaptive Antenna System
(2) Pokročilý anténní systém, anglicky Advanced Antenna System",cs
7,7,"Letecký komunikační systém, anglicky Aircraft Communications Addressing and Reporting System",cs
8,8,"Oblastní středisko řízení (letového provozu), anglicky Area Control Centre",cs
9,9,"Oblastní středisko řízení horních letových hladin, anglicky Area Control Centre/Upper",cs
10,10,"Oblastní středisko řízení spodních letových hladin, anglicky Area Control Centre/Lower",cs
11,11,"Potvrzení příjmu, anglicky Acknowledge [Rec. ITU-R M.1371-3]",cs
12,12,"Anglicky Aeronautical Communication Panel [Zpráva CPM11-2]",cs
13,13,"Analogový - digitální (analogově - digitálně), anglicky analog-to-digital",cs
14,14,"Převodník analogového signálu na digitální, anglicky Analog-to-Digital Converter",cs
15,15,"Japonská družice pro pozorování Země, anglicky Advanced Earth Observation Satellite",cs
16,16,"Automatické zpracování dat, anglicky Automatic Data Processing",cs
17,17,"Zařízení pro automatické zpracování dat, anglicky Automatic Data Processing Equipment",cs
18,18,"Družicový rozhlas Astra, anglicky Astra Digital Radio",cs
19,19,"Automatický závislý přehledový systém, anglicky Automatic Dependant Surveillance (Aeronautical)",cs
20,20,"Letecká zemská stanice, anglicky Aircraft Earth Station",cs
21,21,"Adaptivní využívání kmitočtů, anglicky Adaptive Frequency Agility",cs
22,22,"Automatické řízení frekvence, anglicky Automatic Frequency Control",cs
23,23,"Automatický systém pro předpovědi a pozorování, anglicky Automatic Forecasting and Observing System",cs
24,24,"Provoz mezi terminály na palubách letadel a vrtulníků s terminály na zemi, anglicky Air Ground Air [ECA, Rec. ITU-R M.1371-3]",cs
25,25,"Automatické řízení zesílení, anglicky Automatic Gain Control",cs
26,26,"Automatický identifikační systém, anglicky Automatic Identification System [ECA]",cs
27,27,"Automatický identifikační systém - vyhledávací a záchranný vysílač, anglicky Automatic Identification System - Search And Rescue Transmitter",cs
28,28,"Pozemní letecká radionavigační stanice, anglicky Aeronautical Radionavigation Land Station",cs
29,29,"Automatické řízení úrovně, anglicky Automatic Level Control",cs
30,30,"Pomocné naslouchací zařízení, anglicky Assistive Listening Devices",cs
31,31,"Atacama Large Millimeter/Submillimeter Array",cs
32,32,"Letadlové přistávací systémy, anglicky Airborne Landing System. Zpráva CPM11-2 uvádí Aircraft Landing System.",cs
33,33,"(1) Pohyblivá letecká radionavigační stanice, anglicky Aeronautical Radionavigation Mobile Station
(2) Amplitudová modulace, anglicky Amplitude Modulation
",cs
34,34,"Letadlové předávání meteorologických údajů, anglicky Aircraft Meteorological Data Relay",cs
35,35,"Asymetrické modulační a kódovací schéma, anglicky Asymmetrical Modulation and Coding Scheme",cs
36,36,"Letecká pohyblivá (R) služba (radiokomunikační), anglicky Aeronautical Mobile (R)Service",cs
37,37,"Letecká pohyblivá služba (radiokomunikační), anglicky Aeronautical Mobile Service",cs
38,38,"Družicová letecká pohyblivá (OR )služba (radiokomunikační), anglicky Aeronautical Mobile - Satellite (Off-Route) Service",cs
39,39,"Družicová letecká pohyblivá (R)služba (radiokomunikační), anglicky Aeronautical Mobile - Satellite (Route) Service",cs
40,40,"Družicová letecká pohyblivá služba (radiokomunikační), anglicky Aeronautical Mobile Satellite Service",cs
41,41,"Letecká telemetrie, anglicky Aeronautical Mobile Telemetry",cs
42,42,"Americký národní institut pro standardy, anglicky American National Standards Institute",cs
43,43,"Poskytovatel leteckých navigačních služeb, anglicky Air Navigation Service Provider",cs
44,44,"1) Překážková mapa letiště, anglicky Aerodome Obstacle Chart
2) Řízení letového provozu, anglicky Aeronautical Operational Control",cs
45,45,"Krok zveřejnění informací o družicové síti v rámci postupu u ITU, anglicky Advance Publication Information (viz Dodatek 4 Radiokomunikačního řádu)",cs
46,46,"Nejvzdálenější bod oběžné dráhy družice",cs
47,47,"APP = Řízení přiblížení, anglicky Approach Control, App. = Dodatek Radiokomunikačního řádu, anglicky Appendix of the ITU Radio Regulations [ECA]

",cs
48,48,"Regionální skupina zemí Asijsko-pacifického teritoria, anglicky Asia-Pacific Telecommunity",cs
49,49,"Přiblížení a přistání s vertikálním vedením, anglicky Approach and Landing Operations with Vertical Guidance",cs
50,50,"Vysílač majákových signálů pro radioamatérský orientační běh, anglicky Amateur Radio Direction Finding",cs
51,51,"Letecká radionavigační služba (radiokomunikační), anglicky Aeronautical Radionavigation Service",cs
52,52,"Družicová letecká radionavigační služba (radiokomunikační), anglicky Aeronautical Radionavigation-Satellite Service",cs
53,53,"Průměrná tržba za uživatele, anglicky Average Revenue Per User",cs
54,54,"Amatérská služba (radiokomunikační), anglicky Amateur Service [Zpráva CPM11-2]",cs
55,55,"Družicová amatérská služba (radiokomunikační), anglicky Amateur-Satellite Service [Zpráva CPM11-2]",cs
57,57,"Družicová amatérská služba (radiokomunikační), anglicky Amateur-Satellite Service",cs
58,58,"Americký standardní kód pro výměnu informací, anglicky American Standard Code for Information Interchange [Rec. ITU-R M.1371-3]",cs
59,59,"Zařízení pro detekci na letištní ploše, anglicky Airport Surface Detection Equipment",cs
60,60,"Konzultační skupina pro kmitočty leteckého spektra, anglicky Aeronautical Spectrum Frequency Consultation Group. Nezávislá skupina zahrnující evropské státy, Evropskou komisi, ICAO, Eurocontrol, IATA, poskytovatele leteckých navigačních služeb, a další.",cs
61,61,"Čidlo pohybu na letištní ploše, anglicky Airfield Surface Movement Indicator",cs
62,62,"Družicová amatérská služba, anglicky Amateur-Satellite Service",cs
63,63,"Řízení letového provozu, anglicky Air Trafic Control [Zpráva CPM11-2]",cs
64,64,"(1) (Letecká) Automatická informační služba koncového řízení oblasti, anglicky Automatic Terminal Information Service
(2) Automatický systém pro identifikaci rádiových stanic na vodních cestách, anglicky Automatic Transmitter Identification System",cs
65,65,"(1) Řízení letového provozu, anglicky Air Traffic Management [Zpráva CPM11-2]
(2) Asynchronní režim přenosu, anglicky Asynchronous Transfer Mode",cs
66,66,"Pomoc/pomůcka pro navigaci, anglicky Aid to Navigation [Rec. ITU-R M.1371-3]",cs
67,67,"Automatické řízení vysílacího výkonu, anglicky Automatic Transmitter Power Control. Automatické řízení vysílacího výkonu je technika, při které je výstupní výkon mikrovlnného vysílače automaticky měněn tak, aby kompenzoval podmínky šíření. Při normálních podmínkách šíření udržuje ATPC výstupní výkon vysílače na snížené úrovni. ATPC je charakterizováno svým rozsahem, který je určen jako rozdíl mezi maximální a minimální hodnotou vysílaného výkonu a nemá vliv na návrh příslušného spoje. [RESOLUCE [COM5/5] (WRC 07)] ",cs
68,68,"Letové provozní služby, anglicky Air Traffic Services",cs
69,69,"Výbor pro rozvoj televizních systémů (USA a Kanada), anglicky Advanced Television Systems Committee",cs
