id,army_usage_id,plan_part_id,start,end,sorting,created_at,updated_at
1,1,,1,8300,,"2015-08-05 15:56:30","2018-09-19 08:46:19"
2,1,27,9000,11300,,"2015-08-05 15:56:30","2018-09-19 08:45:47"
3,2,27,14000,19950,,"2015-08-05 15:56:30","2018-03-27 17:07:38"
4,1,27,19950,20050,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
5,4,27,20050,50500,,"2015-08-05 15:56:30","2018-10-24 16:28:51"
7,2,27,50500,70000,,"2015-08-05 15:56:30","2018-10-24 16:32:03"
10,1,27,70000,72000,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
11,2,27,72000,84000,,"2015-08-05 15:56:30","2018-10-24 16:34:03"
12,1,27,84000,86000,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
13,2,27,86000,90000,,"2015-08-05 15:56:30","2018-10-24 16:36:48"
14,4,27,90000,110000,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
15,2,27,110000,112000,,"2015-08-05 15:56:30","2018-10-24 16:42:37"
16,1,27,112000,115000,,"2015-08-05 15:56:30","2018-10-24 16:43:38"
17,1,27,115000,117600,,"2015-08-05 15:56:30","2018-10-24 16:45:48"
18,2,27,117600,126000,,"2015-08-05 15:56:30","2018-10-24 16:49:14"
19,1,27,126000,129000,,"2015-08-05 15:56:30","2018-10-24 16:50:43"
20,2,27,129000,130000,,"2015-08-05 15:56:30","2018-10-24 16:54:22"
21,2,27,130000,135700,,"2015-08-05 15:56:30","2018-10-24 16:56:04"
22,1,27,135700,137800,,"2015-08-05 15:56:30","2018-10-24 17:00:58"
23,1,27,137800,148500,,"2015-08-05 15:56:30","2018-10-24 17:02:29"
24,1,27,148500,255000,,"2015-08-05 15:56:30","2018-10-24 17:03:46"
25,4,27,255000,283500,,"2015-08-05 15:56:30","2016-07-05 15:27:18"
26,4,27,283500,315000,,"2015-08-05 15:56:30","2016-07-05 15:27:52"
27,3,27,315000,325000,,"2015-08-05 15:56:30","2016-07-05 15:32:05"
28,4,27,325000,405000,,"2015-08-05 15:56:30","2016-07-05 15:32:38"
29,4,27,405000,415000,,"2015-08-05 15:56:30","2016-07-05 15:33:37"
30,4,27,415000,435000,,"2015-08-05 15:56:30","2016-07-05 15:34:23"
31,4,27,435000,472000,,"2015-08-05 15:56:30","2018-10-25 10:38:15"
32,1,27,495000,505000,,"2015-08-05 15:56:30","2015-08-05 15:56:30"
33,4,27,505000,526500,,"2015-08-05 15:56:30","2016-07-05 16:06:34"
34,2,27,526500,1300000,,"2015-08-05 15:56:30","2016-04-10 19:46:14"
35,1,27,1300000,1606500,,"2015-08-05 15:56:30","2016-04-10 19:47:18"
36,4,27,1606500,1625000,,"2015-08-05 15:56:30","2016-03-29 15:51:25"
37,3,27,1625000,1635000,,"2015-08-05 15:56:30","2018-10-25 11:58:04"
38,4,27,1635000,1715000,,"2015-08-05 15:56:30","2016-03-29 15:51:49"
39,4,27,1715000,1800000,,"2015-08-05 15:56:30","2016-03-29 15:52:04"
40,3,27,1800000,1810000,,"2015-08-05 15:56:30","2016-04-10 18:29:00"
41,1,27,1810000,1830000,,"2015-08-05 15:56:30","2016-04-13 16:47:29"
42,1,27,1830000,1850000,,"2015-08-05 15:56:30","2016-03-29 15:56:34"
43,4,27,1850000,2000000,,"2015-08-05 15:56:30","2016-04-10 18:33:58"
44,4,27,2000000,2025000,,"2015-08-05 15:56:30","2016-04-10 18:34:24"
45,4,27,2025000,2045000,,"2015-08-05 15:56:30","2016-04-10 18:34:48"
46,4,27,2045000,2160000,,"2015-08-05 15:56:30","2016-03-29 15:58:25"
47,3,27,2160000,2170000,,"2015-08-05 15:56:30","2018-10-25 15:09:05"
48,1,27,2170000,2173500,,"2015-08-05 15:56:30","2016-03-29 15:58:50"
49,1,27,2173500,2190500,,"2015-08-05 15:56:30","2016-04-13 13:49:12"
50,1,27,2190500,2194000,,"2015-08-05 15:56:30","2016-03-29 15:59:22"
51,4,27,2194000,2300000,,"2015-08-05 15:56:30","2016-04-10 18:40:01"
52,4,27,2300000,2498000,,"2015-08-05 15:56:30","2016-04-10 18:40:23"
53,1,27,2498000,2501000,,"2015-08-05 15:56:30","2016-03-29 16:12:16"
54,1,27,2501000,2502000,,"2015-08-05 15:56:30","2016-03-29 16:11:18"
55,4,27,2502000,2625000,,"2015-08-05 15:56:30","2016-04-10 18:41:01"
56,1,27,2625000,2650000,,"2015-08-05 15:56:30","2016-03-29 16:12:55"
57,4,27,2650000,2850000,,"2015-08-05 15:56:30","2016-04-10 18:41:30"
58,4,27,2850000,3025000,,"2015-08-05 15:56:30","2016-04-13 13:09:53"
59,3,27,3025000,3155000,,"2015-08-05 15:56:30","2016-03-29 16:24:41"
60,4,27,3155000,3200000,,"2015-08-05 15:56:30","2016-03-29 16:25:07"
61,4,27,3200000,3230000,,"2015-08-05 15:56:30","2016-03-29 16:25:25"
62,4,27,3230000,3400000,,"2015-08-05 15:56:30","2016-03-29 16:25:40"
63,2,27,3400000,3500000,,"2015-08-05 15:56:30","2016-03-29 16:26:24"
64,2,27,3500000,3800000,,"2015-08-05 15:56:30","2016-03-29 16:26:39"
65,3,27,3800000,3900000,,"2015-08-05 15:56:30","2016-03-29 16:26:53"
66,3,27,3900000,3950000,,"2015-08-05 15:56:30","2016-03-29 16:27:10"
67,1,27,3950000,4000000,,"2015-08-05 15:56:30","2016-03-29 16:27:26"
68,1,27,4000000,4063000,,"2015-08-05 15:56:30","2016-03-29 16:27:38"
69,1,27,4063000,4123000,,"2015-08-05 15:56:30","2016-03-29 16:27:51"
70,1,27,4123000,4130000,,"2015-08-05 15:56:30","2016-04-13 13:47:51"
71,1,27,4130000,4438000,,"2015-08-05 15:56:30","2016-04-13 16:21:38"
72,4,27,4438000,4488000,,"2015-08-05 15:56:30","2018-12-05 10:02:36"
73,2,27,4650000,4700000,,"2015-08-05 15:56:30","2016-03-29 16:29:47"
74,3,27,4700000,4750000,,"2015-08-05 15:56:30","2016-03-29 16:30:03"
75,4,27,4750000,4850000,,"2015-08-05 15:56:30","2016-03-29 16:30:15"
