id,translatable_id,name,document_url,locale
1,1,2004/545/ES,https://eur-lex.europa.eu/legal-content/CS/TXT/PDF/?uri=CELEX%3A32004D0545&from=CS,cs
2,2,2007/90/ES,https://eur-lex.europa.eu/legal-content/CS/TXT/PDF/?uri=CELEX%3A32007D0090&from=EN,cs
3,3,CEPT/ECC/DEC/(04)08,https://www.ecodocdb.dk/download/3948246a-1552/ECCDEC0408.PDF,cs
4,4,2008/411/ES,https://eur-lex.europa.eu/legal-content/CS/TXT/PDF/?uri=CELEX%3A32008D0411&from=EN,cs
5,5,2008/477/ES,https://eur-lex.europa.eu/legal-content/CS/TXT/PDF/?uri=CELEX%3A32008D0477&from=EN,cs
6,6,CEPT/ECC/DEC/(05)05,https://www.ecodocdb.dk/download/217614c9-9edd/ECCDec0505.pdf,cs
7,7,2008/671/ES,https://eur-lex.europa.eu/legal-content/CS/TXT/PDF/?uri=CELEX%3A32008D0671&from=EN,cs
8,8,2009/766/ES,https://eur-lex.europa.eu/legal-content/CS/TXT/PDF/?uri=CELEX%3A32009D0766&from=EN,cs
9,9,CEPT/ERC/DEC/(97)02,https://www.ecodocdb.dk/download/cba61d6a-61b2/DEC9702E.PDF,cs
10,10,2010/267/EU,https://eur-lex.europa.eu/legal-content/CS/TXT/PDF/?uri=CELEX%3A32010D0267&from=EN,cs
11,11,2010/368/EU,https://eur-lex.europa.eu/legal-content/CS/TXT/PDF/?uri=CELEX:32010D0368&qid=1528281543807&from=CS,cs
12,12,"CEPT/ERC/REC 70-03",https://www.ecodocdb.dk/download/25c41779-cd6e/Rec7003.pdf,cs
13,13,2011/829/EU,https://eur-lex.europa.eu/legal-content/CS/TXT/PDF/?uri=CELEX%3A32011D0829&from=FR,cs
14,15,91/287/EHS,https://eur-lex.europa.eu/legal-content/CS/TXT/PDF/?uri=CELEX%3A31991L0287&from=EN,cs
15,16,CEPT/ERC/DEC/(94)03,https://www.ecodocdb.dk/download/c71a3d98-fa3c/DEC9403E.PDF,cs
16,17,"CEPT T/R 22-01",https://www.ecodocdb.dk/download/2244a821-377b/TR2201E.PDF,cs
17,18,CEPT/ECC/DEC(06)08,https://www.ecodocdb.dk/download/f658b7f5-beb4/ECCDEC0608.PDF,cs
18,19,"CEPT/ERC REC 70-03",https://www.ecodocdb.dk/download/25c41779-cd6e/Rec7003.pdf,cs
