id,translatable_id,name,document_url,locale
1,2,VO-R/1,https://www.ctu.cz/sites/default/files/obsah/ctu/vseobecne-opravneni-c.vo-r/1/12.2018-8/obrazky/vo-r1-122018-8.pdf,cs
2,3,VO-R/10,https://www.ctu.cz/sites/default/files/obsah/ctu/vseobecne-opravneni-c.vo-r/10/01.2019-1/obrazky/vo-r10-012019-1.pdf,cs
3,4,"VO-R/10 čl. 10",https://www.ctu.cz/sites/default/files/obsah/ctu/vseobecne-opravneni-c.vo-r/10/12.2017-10/obrazky/vo-r10-122017-10.pdf#page=12,cs
4,5,"VO-R/10 čl. 11",https://www.ctu.cz/sites/default/files/obsah/ctu/vseobecne-opravneni-c.vo-r/10/12.2017-10/obrazky/vo-r10-122017-10.pdf#page=13,cs
5,6,"VO-R/10 čl. 12",https://www.ctu.cz/sites/default/files/obsah/ctu/vseobecne-opravneni-c.vo-r/10/12.2017-10/obrazky/vo-r10-122017-10.pdf#page=14,cs
6,7,"VO-R/10 čl. 13",https://www.ctu.cz/sites/default/files/obsah/ctu/vseobecne-opravneni-c.vo-r/10/12.2017-10/obrazky/vo-r10-122017-10.pdf#page=15,cs
7,8,"VO-R/10 čl. 14",https://www.ctu.cz/sites/default/files/obsah/ctu/vseobecne-opravneni-c.vo-r/10/12.2017-10/obrazky/vo-r10-122017-10.pdf#page=15,cs
9,10,"VO-R/10 čl. 3",https://www.ctu.cz/sites/default/files/obsah/ctu/vseobecne-opravneni-c.vo-r/10/12.2017-10/obrazky/vo-r10-122017-10.pdf#page=2,cs
10,11,"VO-R/10 čl. 4",https://www.ctu.cz/sites/default/files/obsah/ctu/vseobecne-opravneni-c.vo-r/10/12.2017-10/obrazky/vo-r10-122017-10.pdf#page=4,cs
11,12,"VO-R/10 čl. 5",https://www.ctu.cz/sites/default/files/obsah/ctu/vseobecne-opravneni-c.vo-r/10/12.2017-10/obrazky/vo-r10-122017-10.pdf#page=6,cs
12,13,"VO-R/10 čl. 6",https://www.ctu.cz/sites/default/files/obsah/ctu/vseobecne-opravneni-c.vo-r/10/12.2017-10/obrazky/vo-r10-122017-10.pdf#page=7,cs
13,14,"VO-R/10 čl. 7",https://www.ctu.cz/sites/default/files/obsah/ctu/vseobecne-opravneni-c.vo-r/10/12.2017-10/obrazky/vo-r10-122017-10.pdf#page=9,cs
14,15,"VO-R/10 čl. 8",https://www.ctu.cz/sites/default/files/obsah/ctu/vseobecne-opravneni-c.vo-r/10/12.2017-10/obrazky/vo-r10-122017-10.pdf#page=10,cs
15,17,VO-R/12,https://www.ctu.cz/cs/download/oop/rok_2010/vo-r_12-09_2010-12.pdf,cs
16,18,VO-R/14,https://www.ctu.cz/cs/download/oop/rok_2012/vo-r_14-12_2012-17.pdf,cs
17,19,VO-R/15,https://www.ctu.cz/1/download/Opatreni%20obecne%20povahy/VO_R_15_08_2005_27.pdf,cs
18,20,VO-R/16,https://www.ctu.cz/1/download/Opatreni%20obecne%20povahy/VO_R_16_08_2005_28.pdf,cs
19,21,VO-R/17,https://www.ctu.cz/1/download/Opatreni%20obecne%20povahy/VO_R_17_08_2005_29.pdf,cs
20,23,VO-R/2,https://www.ctu.cz/sites/default/files/obsah/ctu/vseobecne-opravneni-c.vo-r/2/05.2018-5/obrazky/vo-r2-052018-5.pdf,cs
21,24,VO-R/23,https://www.ctu.cz/sites/default/files/obsah/ctu/vseobecne-opravneni-c.vo-r/23/08.2017-6/obrazky/vo-r23-082017-6.pdf,cs
22,25,VO-R/3,https://www.ctu.cz/sites/default/files/obsah/ctu/vseobecne-opravneni-c.vo-r/3/6.2016-9/obrazky/vo-r03-062016-09.pdf,cs
23,27,VO-R/7,https://www.ctu.cz/sites/default/files/obsah/ctu/vseobecne-opravneni-c.vo-r/7/11.2016-12/obrazky/vo-r07-112016-12.pdf,cs
