id,translatable_id,name,text,locale
1,1,5.53,"Správy, které povolí používat kmitočty nižší než 8,3 kHz, zajistí, že tím nevznikne škodlivé rušení službám, jimž jsou přidělena pásma nad 8,3 kHz. ",cs
2,2,5.54,"Správy, které provádějí vědecký výzkum na kmitočtech pod 8,3 kHz, se naléhavě žádají, aby o tom informovaly ostatní správy, jichž se to může týkat, a aby tento výzkum měl veškerou prakticky uskutečnitelnou ochranu proti škodlivému rušení. ",cs
3,3,5.56,"Stanice služeb, jimž jsou přidělena pásma 14-19,95 kHz a 20,05-70 kHz a navíc v Regionu1 pásma 72-84 kHz a 86-90 kHz, mohou vysílat kmitočtové normály a časové signály. Takové stanice musí být chráněny proti škodlivým rušením. V Arménii, Ázerbájdžánu, Bělorusku, Gruzii, Kazachstánu, Kyrgyzstánu, v Rusku, Tádžikistánu a v Turkmenistánu se k tomu účelu použije kmitočtů 25 kHz a 50 kHz za stejných podmínek.",cs
4,4,5.57,"Využívání pásem 14-19,95 kHz, 20,05-70 kHz a 70-90 kHz (v Regionu 1: 72-84 kHz a 86-90 kHz) námořní pohyblivou službou je omezeno na radiotelegrafní pobřežní stanice (jen A1A a F1B). Výjimečně je povoleno používat vysílání třídy J2B nebo J7B s podmínkou, že šířka potřebného pásma nepřesáhne tu, která odpovídá normálně vysílání třídy A1A nebo F1B v daných pásmech. ",cs
5,5,5.60,"V pásmech 70-90 kHz (v Regionu 1: 70-86 kHz) a 110-130 kHz (v Regionu 1: 112-130 kHz) se mohou využívat impulsní radionavigační soustavy s podmínkou, že nesmí působit škodlivé rušení stanicím ostatních služeb, jimž jsou tato pásma přidělena. ",cs
6,6,5.62,"Správy, které provozují stanice radionavigační služby v pásmu 90-110 kHz, se naléhavě žádají, aby koordinovaly technické a provozní údaje těchto stanic tak, aby se předešlo škodlivému rušení služeb jimi zajišťovaných. ",cs
7,7,5.64,"Pro stanice pevné služby v pásmech přidělených této službě mezi 90 kHz a 160 kHz (v Regionu 1: 148,5 kHz) a pro stanice námořní pohyblivé služby v pásmech přidělených této službě mezi 110 kHz a 160 kHz (v Regionu 1: 148,5 kHz) jsou povolena pouze vysílání tříd A1A nebo F1B, A2C, A3C, F1C nebo F3C. Výjimečně jsou v pásmu 110-160 kHz (v Regionu 1: 148,5 kHz) pro stanice námořní pohyblivé služby povolena rovněž vysílání třídy J2B nebo J7B. ",cs
8,8,5.67A,"Stanice v amatérské službě využívající kmitočty v pásmu 135,7-137,8 kHz nesmí překročit maximální vyzářený výkon 1 W (e.i.r.p.) a nesmí působit škodlivé rušení stanicím v radionavigační službě provozovaným v zemích uvedených v ustanovení č. 5.67 Řádu. ",cs
9,9,5.67B,"Využívání pásma 135,7-137,8 kHz v Alžírsku, Egyptě, Íránu, Iráku, Libanonu, Sýrii, Súdánu, Jižním Súdánu a v Tunisku je omezeno na pevnou službu a námořní pohyblivou službu. Ve shora zmíněných zemích nesmí být pásmo 135,7-137,8 kHz využíváno amatérskou službou, což nechť je bráno v úvahu zeměmi, které takové využívání povolují. ",cs
10,10,5.73,"V pásmu 285-325 kHz (v Regionu 1: 283,5-325 kHz) lze v námořní radionavigační službě také vysílat doplňkové navigační informace s použitím úzkopásmových technik za podmínky, že to nezpůsobí škodlivé rušení stanicím radiomajáků pracujícím v radionavigační službě. ",cs
11,11,5.74,"Doplňkové přidělení: v Regionu 1 je pásmo 285,3-285,7 kHz přiděleno navíc přednostně námořní radionavigační službě (s výjimkou radiomajáků).  Regionu 1 je pásmo 285,3-285,7 kHz přiděleno navíc přednostně námořní radionavigační službě (s výjimkou radiomajáků). ",cs
12,12,5.76,"Kmitočet 410 kHz je určen pro rádiové zaměřování v námořní radionavigační službě. Ostatní radionavigační služby, jimž je pásmo 405-415 kHz přiděleno, nesmí působit škodlivé rušení rádiovému zaměřování v pásmu 406,5-413,5 kHz. ",cs
13,13,5.79,"Využívání pásem 415-495 kHz a 505-526,5 kHz (v Regionu 2: 505-510 kHz) námořní pohyblivou službou je omezeno na radiotelegrafii. ",cs
14,14,5.79A,"Při zřizování pobřežních stanic ve službě NAVTEX na kmitočtech 490 kHz, 518 kHz a 4209,5 kHz se správám důrazně doporučuje, aby koordinovaly jejich provozní charakteristiky v souladu s postupy Mezinárodní námořní organizace (IMO), viz Resoluci 339. ",cs
15,15,5.82,"V námořní pohyblivé službě budou kmitočet 490 kHz využívat pobřežní stanice výhradně pro vysílání navigačních a meteorologických výstrah a pilných zpráv pro plavidla pomocí úzkopásmové telegrafie s přímým tiskem. Podmínky pro využívání kmitočtu 490 kHz jsou předepsány v Článcích 31 a 52 Řádu. Správy se žádají, aby při využívání pásma 415-495 kHz leteckou radionavigační službou zajistily, aby kmitočtu 490 kHz nebylo působeno škodlivé rušení. Při využívání pásma 472-479 kHz amatérskou službou správy zajistí, že nebude působeno škodlivé rušení kmitočtu 490 kHz.",cs
18,18,5.84,"Podmínky pro využívání kmitočtu 518 kHz námořní pohyblivou službou jsou předepsány v Článcích 31 a 52 Řádu. ",cs
