plan_id,harmonization_id,id
6,11,1
6,12,2
7,11,3
7,12,4
13,11,5
13,12,6
14,11,7
14,12,8
19,11,9
19,12,10
20,11,11
20,12,12
24,11,13
24,12,14
25,11,15
25,12,16
35,11,21
35,12,22
36,11,23
36,12,24
51,11,33
51,12,34
52,11,35
52,12,36
59,11,37
59,12,38
60,11,39
60,12,40
64,11,41
64,12,42
65,11,43
65,12,44
71,11,45
71,12,46
72,11,47
72,12,48
99,11,61
99,12,62
100,11,63
100,12,64
168,67,106
169,67,1680
170,11,107
170,12,108
171,11,109
171,12,110
174,67,111
175,11,112
175,12,113
176,11,114
176,12,115
179,67,116
181,11,117
181,12,118
182,11,119
182,12,120
185,67,121
186,67,122
187,11,123
187,12,124
188,11,125
188,12,126
191,67,127
192,67,128
193,11,129
193,12,130
194,11,131
194,12,132
200,11,134
200,12,135
201,11,136
201,12,137
203,67,138
204,67,139
205,58,140
206,11,141
206,12,142
207,11,143
207,12,144
210,66,145
212,66,146
213,66,147
214,66,148
215,11,149
215,12,150
216,11,151
216,12,152
220,66,154
221,11,155
221,12,156
223,67,157
225,11,158
225,12,159
230,11,160
230,12,161
233,67,1705
235,11,162
235,12,163
239,67,164
242,11,165
242,12,166
248,11,167
248,12,168
251,11,169
251,12,170
253,11,171
253,12,172
257,11,173
257,12,174
262,11,175
262,12,176
267,11,177
267,12,178
271,67,179
273,11,180
273,12,181
279,11,182
279,12,183
281,67,184
282,11,185
282,12,186
287,11,187
287,12,188
292,11,191
292,12,192
297,11,193
297,12,194
300,11,195
300,12,196
303,11,197
303,12,198
306,11,199
306,12,200
311,11,201
311,12,202
315,11,203
315,12,204
319,62,205
320,62,206
321,62,207
322,11,208
322,12,209
325,61,210
326,61,211
327,11,212
327,12,213
331,11,214
331,12,215
335,11,216
335,12,217
339,11,218
339,12,219
345,11,220
345,12,221
350,11,222
350,12,223
356,11,224
356,12,225
359,61,226
360,61,227
361,61,228
362,61,229
363,61,230
364,61,231
365,11,232
365,12,233
369,11,234
369,12,235
371,59,236
372,11,237
372,12,238
374,59,239
375,11,240
375,12,241
376,59,242
378,11,243
378,12,244
380,59,245
385,11,246
385,12,247
389,11,248
389,12,249
392,62,250
393,11,251
393,12,252
396,61,253
397,61,254
398,11,255
398,12,256
403,11,257
403,12,258
407,11,259
407,12,260
410,11,261
410,12,262
413,11,263
413,12,264
415,11,265
415,12,266
419,11,267
419,12,268
423,11,269
423,12,270
428,11,271
428,12,272
431,62,273
432,62,274
433,62,275
434,62,276
435,11,277
435,12,278
438,11,279
438,12,280
442,11,281
442,12,282
444,57,283
446,11,284
446,12,285
447,57,286
448,11,287
448,12,288
449,59,289
455,11,290
455,12,291
457,62,292
458,62,293
459,11,294
459,12,295
462,61,296
463,61,297
464,61,298
465,61,299
466,61,300
