id,translatable_id,additional_info,future,locale
3,5,Nevyužito,,cs
4,6,,,cs
5,7,"Intenzita magnetického pole max 30 dBμA/m /10m, klíčovací poměr max. 10%",,cs
6,12,"Nevyužito. Postavení uživatelů podle CZ1.",,cs
7,13,,,cs
8,14,"Intenzita magnetického pole max 30 dBμA/m /10m, klíčovací poměr max. 10%",,cs
9,18,"(20 kHz)",,cs
10,19,,,cs
11,20,"Intenzita magnetického pole max 30 dBμA/m /10m, klíčovací poměr max. 10%",,cs
12,23,"Postavení uživatelů dle CZ1",,cs
13,24,,,cs
14,25,"Intenzita magnetického pole max 30 dBμA/m /10m, klíčovací poměr max. 10%",,cs
18,33,"Postavení uživatelů dle CZ1",,cs
19,34,"Využití v souladu s 5.57","(1) Prvky systému GMDSS popsané touto částí plánu budou nadále významnou součástí tísňové a bezpečnostní komunikace v námořní pohyblivé službě. 
(2) Intenzita využívání těchto kmitočtů v námořní pohyblivé službě pro hlasovou komunikaci pozvolna klesá. 
(3) Zlepšení podmínek pro zavádění a rozvoj nových digitálních technologií v námořní pohyblivé službě mj. úpravou uspořádání kanálů pro tuto službu v těchto pásmech je předmětem projednání v rámci bodu 1.9 programu WRC-12.",cs
20,35,,,cs
21,36,"Intenzita magnetického pole max 30 dBμA/m /10m, klíčovací poměr max. 10%",,cs
29,50,"Využití v souladu s 5.60",,cs
30,51,,,cs
31,52,"Intenzita magnetického pole max 30 dBμA/m /10m, klíčovací poměr max. 10%",,cs
32,55,"Postavení uživatelů dle CZ1",,cs
33,56,"Využití v souladu s 5.57","(1) Prvky systému GMDSS popsané touto částí plánu budou nadále významnou součástí tísňové a bezpečnostní komunikace v námořní pohyblivé službě. 
(2) Intenzita využívání těchto kmitočtů v námořní pohyblivé službě pro hlasovou komunikaci pozvolna klesá. 
(3) Zlepšení podmínek pro zavádění a rozvoj nových digitálních technologií v námořní pohyblivé službě mj. úpravou uspořádání kanálů pro tuto službu v těchto pásmech je předmětem projednání v rámci bodu 1.9 programu WRC-12.",cs
34,57,"Využití v souladu s 5.60",,cs
35,58,"DCF77 (Mainlingen u Frankfurtu nad Mohanem), řídící signál pro přesný čas, dosah cca 1500 km",,cs
36,59,,,cs
37,60,"Intenzita magnetického pole max 30 dBμA/m /10m, klíčovací poměr max. 10%",,cs
38,63,"Využití v souladu s 5.60",,cs
39,64,,,cs
40,65,"Intenzita magnetického pole max 30 dBμA/m /10m, klíčovací poměr max. 10%",,cs
41,68,"Postavení uživatelů dle CZ1",,cs
42,69,"Využití v souladu s 5.57","(1) Prvky systému GMDSS popsané touto částí plánu budou nadále významnou součástí tísňové a bezpečnostní komunikace v námořní pohyblivé službě. 
(2) Intenzita využívání těchto kmitočtů v námořní pohyblivé službě pro hlasovou komunikaci pozvolna klesá. 
(3) Zlepšení podmínek pro zavádění a rozvoj nových digitálních technologií v námořní pohyblivé službě mj. úpravou uspořádání kanálů pro tuto službu v těchto pásmech je předmětem projednání v rámci bodu 1.9 programu WRC-12.",cs
43,70,,,cs
44,71,,,cs
45,72,"Intenzita magnetického pole max 30 dBμA/m /10m, klíčovací poměr max. 10%",,cs
61,96,"V souladu s 5.60 lze využívat i impulsními radionavigačními soustavami. Rovnoprávné sdílení s necivilním využitím.",,cs
62,97,5.64,,cs
63,98,5.64,"(1) Prvky systému GMDSS popsané touto částí plánu budou nadále významnou součástí tísňové a bezpečnostní komunikace v námořní pohyblivé službě. 
(2) Intenzita využívání těchto kmitočtů v námořní pohyblivé službě pro hlasovou komunikaci pozvolna klesá. 
(3) Zlepšení podmínek pro zavádění a rozvoj nových digitálních technologií v námořní pohyblivé službě mj. úpravou uspořádání kanálů pro tuto službu v těchto pásmech je předmětem projednání v rámci bodu 1.9 programu WRC-12.",cs
64,99,,,cs
65,100,"Intenzita magnetického pole max 30 dBμA/m /10m, klíčovací poměr max. 10%",,cs
116,168,"Letecké radiomajáky. Pouze necivilní využití.",,cs
117,169,"Pouze radiomajáky a v souladu s 5.73 - kmitočtový plán Ženeva 85.","(1) Prvky systému GMDSS popsané touto částí plánu budou nadále významnou součástí tísňové a bezpečnostní komunikace v námořní pohyblivé službě. 
(2) Intenzita využívání těchto kmitočtů v námořní pohyblivé službě pro hlasovou komunikaci pozvolna klesá. 
(3) Zlepšení podmínek pro zavádění a rozvoj nových digitálních technologií v námořní pohyblivé službě mj. úpravou uspořádání kanálů pro tuto službu v těchto pásmech je předmětem projednání v rámci bodu 1.9 programu WRC-12.",cs
118,170,,,cs
119,171,"Intenzita magnetického pole -5 dBμA/m /10m, klíčovací poměr max 10%.",,cs
120,173,"Necivilní využití přednostně.",,cs
121,174,"Letecké radiomajáky. Rovnoprávné sdílení s necivilním využitím.",,cs
122,175,,,cs
123,176,"Intenzita magnetického pole -5 dBμA/m /10m, klíčovací poměr max 10%.",,cs
124,178,"Necivilní využití rovnoprávně.",,cs
125,179,"Využití v souladu s 5.76. Letecké a námořní radiomajáky. Rovnoprávné sdílení s necivilním využitím.",,cs
126,180,"Rádiové zaměřování v námořní radionavigační. Námořní radiomajáky.",,cs
127,181,,,cs
128,182,"Intenzita magnetického pole -5 dBμA/m /10m, klíčovací poměr max 10%.",,cs
129,184,"Necivilní využití rovnoprávně.",,cs
130,185,"Radiotelegrafie v souladu s 5.79.","(1) Prvky systému GMDSS popsané touto částí plánu budou nadále významnou součástí tísňové a bezpečnostní komunikace v námořní pohyblivé službě. 
(2) Intenzita využívání těchto kmitočtů v námořní pohyblivé službě pro hlasovou komunikaci pozvolna klesá. 
(3) Zlepšení podmínek pro zavádění a rozvoj nových digitálních technologií v námořní pohyblivé službě mj. úpravou uspořádání kanálů pro tuto službu v těchto pásmech je předmětem projednání v rámci bodu 1.9 programu WRC-12.",cs
131,186,"Letecké radiomajáky.",,cs
132,187,,,cs
133,188,"Intenzita magnetického pole -5 dBμA/m /10m, klíčovací poměr max 10%.",,cs
134,190,"Necivilní využití rovnoprávně.",,cs
135,191,"Radiotelegrafie v souladu s 5.79, NAVTEX v souladu s 5.79A a 5.82.","(1) Prvky systému GMDSS popsané touto částí plánu budou nadále významnou součástí tísňové a bezpečnostní komunikace v námořní pohyblivé službě. 
(2) Intenzita využívání těchto kmitočtů v námořní pohyblivé službě pro hlasovou komunikaci pozvolna klesá. 
(3) Zlepšení podmínek pro zavádění a rozvoj nových digitálních technologií v námořní pohyblivé službě mj. úpravou uspořádání kanálů pro tuto službu v těchto pásmech je předmětem projednání v rámci bodu 1.9 programu WRC-12.",cs
136,192,"Rovnoprávné sdílení s necivilním využitím. Využití v souladu s 5.82. Letecké radiomajáky.",,cs
137,193,,,cs
138,194,"Intenzita magnetického pole -5 dBμA/m /10m, klíčovací poměr max 10%.",,cs
139,195,"Intenzita magnetického pole 7 dBμA/m /10m. Pouze zařízení k nouzovému vyhledávání zasypaných obětí a cenných předmětů.",,cs
141,198,"Necivilní využití rovnoprávně.",,cs
142,199,"Využití pouze pro radiotelegrafii v souladu s 5.82A. Platí 5.85B.","(1) Prvky systému GMDSS popsané touto částí plánu budou nadále významnou součástí tísňové a bezpečnostní komunikace v námořní pohyblivé službě. 
(2) Intenzita využívání těchto kmitočtů v námořní pohyblivé službě pro hlasovou komunikaci pozvolna klesá. 
(3) Zlepšení podmínek pro zavádění a rozvoj nových digitálních technologií v námořní pohyblivé službě mj. úpravou uspořádání kanálů pro tuto službu v těchto pásmech je předmětem projednání v rámci bodu 1.9 programu WRC-12.",cs
143,200,,,cs
144,201,"Intenzita magnetického pole -5 dBμA/m /10m, klíčovací poměr max 10%.",,cs
145,203,"Radiotelegrafie v souladu s 5.79, NAVTEX v souladu s 5.79A a 5.84.","(1) Prvky systému GMDSS popsané touto částí plánu budou nadále významnou součástí tísňové a bezpečnostní komunikace v námořní pohyblivé službě. 
(2) Intenzita využívání těchto kmitočtů v námořní pohyblivé službě pro hlasovou komunikaci pozvolna klesá. 
(3) Zlepšení podmínek pro zavádění a rozvoj nových digitálních technologií v námořní pohyblivé službě mj. úpravou uspořádání kanálů pro tuto službu v těchto pásmech je předmětem projednání v rámci bodu 1.9 programu WRC-12",cs
146,204,"Letecké radiomajáky",,cs
147,205,"Výhradně vysílání pobřežních stanic pro meteorologické a navigační varování a naléhavé informace lodím za pomocí systému NAVTEX (Dodatek 15 Řádu) v rámci GMDSS. Podmínky v Článcích 31 a 52 Řádu. V souladu s poznámkou Řádu 5.82 nesmí být rušeny kmitočty 490 kHz a 518 kHz využívané pro vysílání pobřežních stanic ve službě NAVTEX.",,cs
148,206,,,cs
149,207,"Intenzita magnetického pole -5 dBμA/m /10m, klíčovací poměr max 10%.",,cs
150,209,"Necivilní využití rovnoprávně.",,cs
151,210,,"Možný vývoj technologií v rozhlasové službě naznačuje např. zpráva CEPT. V České republice nicméně nejsou v dlouhodobém výhledu předpokládány změny z hlediska použitých vysílacích technologií.",cs
152,211,"Sdílení s podružným necivilním využití",,cs
153,212,"Český rozhlas ČRo 2 + 6, Praha - Liblice, 2 x 750 kW, Ostrava - Svinov, 30 kW",,cs
154,213,"Český rozhlas ČRo 2 + 6, České Budějovice - Husova kolonie, 30 kW, Brno - Dobrochov, 200 kW",,cs
155,214,"Country Radio, Praha - Zbraslav, 20 kW",,cs
156,215,"Intenzita magnetického pole -5 dBμA/m /10m, klíčovací poměr max 10%.",,cs
157,216,,,cs
158,218,"Necivilní využití podružně.",,cs
160,220,"Český rozhlas ČRo 2 + 6, Moravské Budějovice - Domamil, 2 x 25 kW",,cs
161,221,,,cs
162,222,"Rovnoprávné sdílení s necivilním využitím.",,cs
163,223,"Využití v souladu s 5.90. Kmitočtový plán Ženeva 85.","(1) Prvky systému GMDSS popsané touto částí plánu budou nadále významnou součástí tísňové a bezpečnostní komunikace v námořní pohyblivé službě. 
(2) Intenzita využívání těchto kmitočtů v námořní pohyblivé službě pro hlasovou komunikaci pozvolna klesá. 
(3) Zlepšení podmínek pro zavádění a rozvoj nových digitálních technologií v námořní pohyblivé službě mj. úpravou uspořádání kanálů pro tuto službu v těchto pásmech je předmětem projednání v rámci bodu 1.9 programu WRC-12",cs
164,224,"Rovnoprávné sdílení s necivilním využitím.",,cs
165,225,,,cs
166,226,"Necivilní využití rovnoprávně.",,cs
167,227,"Necivilní využití.",,cs
170,230,,,cs
171,231,"Necivilní využití rovnoprávně.",,cs
172,232,"Rovnoprávné sdílení s necivilním využitím. Využití v souladu s CZ1.",,cs
173,233,"Využití v souladu s 5.90. Kmitočtový plán Ženeva 85.","(1) Prvky systému GMDSS popsané touto částí plánu budou nadále významnou součástí tísňové a bezpečnostní komunikace v námořní pohyblivé službě. 
(2) Intenzita využívání těchto kmitočtů v námořní pohyblivé službě pro hlasovou komunikaci pozvolna klesá. 
(3) Zlepšení podmínek pro zavádění a rozvoj nových digitálních technologií v námořní pohyblivé službě mj. úpravou uspořádání kanálů pro tuto službu v těchto pásmech je předmětem projednání v rámci bodu 1.9 programu WRC-12",cs
174,234,"Rovnoprávné sdílení s necivilním využitím. Využití v souladu s CZ1.",,cs
175,235,,,cs
176,236,"Možnost využití aplikacemi rádiového určování v souladu s 5.92",,cs
177,237,"Necivilní využití rovnoprávně.",,cs
178,238,"Rovnoprávné sdílení s necivilním využitím. Využití v souladu s CZ1.",,cs
179,239,"Kmitočtový plán Ženeva 85","(1) Prvky systému GMDSS popsané touto částí plánu budou nadále významnou součástí tísňové a bezpečnostní komunikace v námořní pohyblivé službě. 
(2) Intenzita využívání těchto kmitočtů v námořní pohyblivé službě pro hlasovou komunikaci pozvolna klesá. 
(3) Zlepšení podmínek pro zavádění a rozvoj nových digitálních technologií v námořní pohyblivé službě mj. úpravou uspořádání kanálů pro tuto službu v těchto pásmech je předmětem projednání v rámci bodu 1.9 programu WRC-12",cs
180,240,"Rovnoprávné sdílení s necivilním využitím. Využití v souladu s CZ1.",,cs
181,241,"Doplňkové přidělení: Amatérská v souladu s 5.96 a CZ4.",,cs
182,242,,,cs
183,243,"Možnost využití aplikacemi rádiového určování v souladu s 5.92",,cs
184,244,"Necivilní využití rovnoprávně.",,cs
187,247,"Necivilní využití.",,cs
188,248,,,cs
189,249,"Necivilní využití přednostně.",,cs
190,250,"Amatérské aplikace. Využívání pásma 1810–1830 kHz podléhá ustanovení poznámky Řádu 5.100 k ochraně přednostních služeb využívaných stanicemi v zemích vyjmenovaných v poznámkách Řádu 5.98 a 5.99.",,cs
191,251,,,cs
192,252,"Amatérské aplikace.",,cs
193,253,,,cs
194,254,"Při přidělování kmitočtů se přihlíží k poznámce Řádu 5.103.",,cs
195,255,"Při přidělování kmitočtů se přihlíží k poznámce Řádu 5.103.",,cs
196,256,"Amatérské aplikace.",,cs
197,257,,,cs
198,258,"Možnost využití aplikacemi rádiového určování v souladu s 5.92",,cs
199,259,"Necivilní využití rovnoprávně.",,cs
200,260,"Při přidělování kmitočtů se přihlíží k poznámce Řádu 5.103.",,cs
201,261,"Při přidělování kmitočtů se přihlíží k poznámce Řádu 5.103.",,cs
202,262,,,cs
203,263,"Možnost využití aplikacemi rádiového určování v souladu s 5.92",,cs
204,264,"Necivilní využití rovnoprávně.",,cs
205,265,"Při přidělování kmitočtů se přihlíží k poznámce Řádu 5.103.",,cs
206,266,"Při přidělování kmitočtů se přihlíží k poznámce Řádu 5.103.",,cs
207,267,,,cs
208,268,"Možnost využití aplikacemi rádiového určování v souladu s 5.92",,cs
209,269,"Necivilní využití rovnoprávně.",,cs
210,270,"Rovnoprávné sdílení s necivilním využitím. Využití v souladu s CZ1.",,cs
211,271,"Kmitočtový plán Ženeva 85","(1) Prvky systému GMDSS popsané touto částí plánu budou nadále významnou součástí tísňové a bezpečnostní komunikace v námořní pohyblivé službě. 
(2) Intenzita využívání těchto kmitočtů v námořní pohyblivé službě pro hlasovou komunikaci pozvolna klesá. 
(3) Zlepšení podmínek pro zavádění a rozvoj nových digitálních technologií v námořní pohyblivé službě mj. úpravou uspořádání kanálů pro tuto službu v těchto pásmech je předmětem projednání v rámci bodu 1.9 programu WRC-12.",cs
212,272,"Rovnoprávné sdílení s necivilním využitím. Využití v souladu s CZ1.",,cs
213,273,,,cs
214,274,"Možnost využití aplikacemi rádiového určování v souladu s 5.92",,cs
215,275,"Necivilní využití rovnoprávně.",,cs
218,278,"Necivilní využití",,cs
219,279,,,cs
220,280,"Necivilní využití rovnoprávně.",,cs
221,281,"Kmitočtový plán Ženeva 85","(1) Prvky systému GMDSS popsané touto částí plánu budou nadále významnou součástí tísňové a bezpečnostní komunikace v námořní pohyblivé službě. 
(2) Intenzita využívání těchto kmitočtů v námořní pohyblivé službě pro hlasovou komunikaci pozvolna klesá. 
(3) Zlepšení podmínek pro zavádění a rozvoj nových digitálních technologií v námořní pohyblivé službě mj. úpravou uspořádání kanálů pro tuto službu v těchto pásmech je předmětem projednání v rámci bodu 1.9 programu WRC-12.",cs
222,282,,,cs
224,284,"Mezinárodní tísňový kmitočet pro úzkopásmovou telegrafii s přímým tiskem v souladu s 5.110.",,cs
225,285,"GMDSS tisňový kmitočet pro radiotelefonii v souladu s 5.108. V souladu s poznámkou Řádu 5.111 se může kmitočet 2182 kHz navíc využívat v souladu s postupy, platícími pro zemské radiokomunikační služby, pro koordinované pátrací a záchranné operace SAR.",,cs
226,286,"Mezinárodní tísňový a bezpečnostní kmitočet využívající režim DSC v souladu s 5.109",,cs
227,287,,,cs
230,290,"Při přidělování kmitočtů se přihlíží k poznámce Řádu 5.103.",,cs
231,291,"Při přidělování kmitočtů se přihlíží k poznámce Řádu 5.103.",,cs
232,292,,,cs
233,293,"Možnost využití aplikacemi rádiového určování v souladu s 5.92.",,cs
234,294,"Necivilní využití rovnoprávně.",,cs
235,295,"Při přidělování kmitočtů se přihlíží k poznámce Řádu 5.103.",,cs
236,296,"Při přidělování kmitočtů se přihlíží k poznámce Řádu 5.103.",,cs
237,297,,,cs
238,298,"Necivilní využití rovnoprávně.",,cs
239,299,,,cs
240,300,,,cs
241,301,,,cs
242,302,,,cs
243,303,,,cs
244,304,"Při přidělování kmitočtů se přihlíží k poznámce Řádu 5.103.",,cs
245,305,"Při přidělování kmitočtů se přihlíží k poznámce Řádu 5.103.",,cs
246,306,,,cs
247,307,"Možnost využití aplikacemi rádiového určování v souladu s 5.92.",,cs
248,308,"Necivilní využití rovnoprávně.",,cs
251,311,,,cs
252,312,"Možnost využití aplikacemi rádiového určování v souladu s 5.92.",,cs
253,313,"Při přidělování kmitočtů se přihlíží k poznámce Řádu 5.103.",,cs
254,314,"Při přidělování kmitočtů se přihlíží k poznámce Řádu 5.103.",,cs
255,315,,,cs
256,316,"Možnost využití aplikacemi rádiového určování v souladu s 5.92.",,cs
257,317,"Necivilní využití rovnoprávně.",,cs
258,318,"Rovnoprávné sdílení s necivilním využitím.",,cs
259,319,"Přidělení pro RDARA podle Dodatku 27 Řádu",,cs
260,320,"Přidělení pro RDARA podle Dodatku 27 Řádu",,cs
261,321,"Celosvětové přidělení podle čl. 3 Dodatku 27 Řádu.  Nosné kmitočty 3023 kHz a 5680 kHz jsou v souladu s poznámkami Řádu 5.111 a  5.115 určeny pro koordinované pátrací a záchranné operace SAR.",,cs
262,322,,,cs
263,323,"Necivilní využití MO rovnoprávně.",,cs
264,324,"Sdílení s přednostním necivilním využitím.",,cs
265,325,"Národní přidělení podle Dodatku 26 Řádu.",,cs
266,326,"Národní přidělení podle Dodatku 26 Řádu.",,cs
267,327,,,cs
268,328,"Necivilní využití přednostně.",,cs
269,329,"Rovnoprávné sdílení s necivilním využitím. Využití v souladu s CZ1.",,cs
270,330,"Rovnoprávné sdílení s necivilním využitím. Využití v souladu s CZ1 a 5.116.",,cs
271,331,,,cs
272,332,"Necivilní využití rovnoprávně.",,cs
273,333,"Rovnoprávné sdílení s necivilním využitím.",,cs
274,334,"Necivilní využití. Využití v souladu s 5.116.",,cs
275,335,,,cs
276,336,"Necivilní využití rovnoprávně.",,cs
277,337,"Rovnoprávné sdílení s necivilním využitím. Využití v souladu s CZ1.",,cs
278,338,"Necivilní využití. Využití v souladu s CZ1 a 5.116.",,cs
279,339,,,cs
280,340,"Necivilní využití rovnoprávně.",,cs
281,341,"Sdílení s podružným necivilním využití",,cs
282,342,"Přidělení pro RDARA podle Dodatku 27 Řádu",,cs
283,343,"Přidělení pro RDARA podle Dodatku 27 Řádu",,cs
284,344,"Přidělení pro RDARA podle Dodatku 27 Řádu",,cs
285,345,,,cs
286,346,"Necivilní využití MO podružně.",,cs
287,347,"Amatérské aplikace",,cs
288,348,"Sdílení s podružným necivilním využitím. Využití v souladu s CZ1.",,cs
289,349,"Sdílení s podružným necivilním využitím. Využití v souladu s CZ1.",,cs
290,350,,,cs
291,351,"Možnost využití aplikacemi rádiového určování v souladu s 5.92.",,cs
292,352,"Necivilní využití podružně.",,cs
293,353,"Sdílení s přednostním necivilním využitím. Využití v souladu s CZ1.",,cs
294,354,"Sdílení s přednostním necivilním využitím.",,cs
295,355,"Sdílení s přednostním necivilním využitím. Využití v souladu s CZ1.",,cs
296,356,,,cs
297,357,"Necivilní využití přednostně.",,cs
298,358,"Sdílení s přednostním necivilním využitím.",,cs
299,359,"Národní přidělení podle Dodatku 26 Řádu.",,cs
300,360,"Národní přidělení podle Dodatku 26 Řádu.",,cs
301,361,"Národní přidělení podle Dodatku 26 Řádu.",,cs
302,362,"Národní přidělení podle Dodatku 26 Řádu.",,cs
303,363,"Národní přidělení podle Dodatku 26 Řádu.",,cs
304,364,"Národní přidělení podle Dodatku 26 Řádu.",,cs
305,365,,,cs
306,366,"Necivilní využití přednostně.",,cs
307,367,,,cs
308,368,,,cs
309,369,,,cs
310,370,"Využití v souladu s CZ1.",,cs
311,371,"Dodatek 17 Řádu. Využití v souladu s 5.127.","(1) Prvky systému GMDSS popsané touto částí plánu budou nadále významnou součástí tísňové a bezpečnostní komunikace v námořní pohyblivé službě. 
(2) Intenzita využívání těchto kmitočtů v námořní pohyblivé službě pro hlasovou komunikaci pozvolna klesá. 
(3) Zlepšení podmínek pro zavádění a rozvoj nových digitálních technologií v námořní pohyblivé službě mj. úpravou uspořádání kanálů pro tuto službu v těchto pásmech je předmětem projednání v rámci bodu 1.9 programu WRC-12.",cs
312,372,,,cs
313,373,,,cs
