id,parent_id,background_color,font_color,lft,rgt,lvl,root,sorting,created_at,updated_at
1,,#ba0e82,#FAFAFA,1,2,0,1,999,"2015-08-05 15:56:29","2015-08-05 15:56:29"
2,,#8347B3,#FAFAFA,1,2,0,2,999,"2015-08-05 15:56:29","2016-02-10 16:31:36"
3,,#1b8389,#FAFAFA,1,2,0,20,999,"2015-08-05 15:56:29","2015-08-05 15:56:29"
4,,#00509B,#FAFAFA,1,2,0,32,999,"2015-08-05 15:56:29","2016-02-10 16:33:41"
5,,#BCC074,,1,4,0,5,999,"2015-08-05 15:56:29","2016-02-10 16:33:16"
6,,#009767,#FAFAFA,1,2,0,6,999,"2015-08-05 15:56:29","2015-08-05 15:56:29"
7,,#FF9999,,1,2,0,7,999,"2015-08-05 15:56:29","2016-02-10 16:32:00"
8,,#909B30,,1,2,0,8,999,"2015-08-05 15:56:29","2016-02-10 16:32:06"
9,5,#e95e6a,#FAFAFA,2,3,1,5,999,"2015-08-05 15:56:29","2015-08-05 15:56:29"
10,,#99CC99,,1,8,0,10,999,"2015-08-05 15:56:29","2015-08-05 15:56:29"
11,10,#66BBEE,,2,3,1,10,999,"2015-08-05 15:56:29","2015-08-05 15:56:29"
14,10,#52b477,#FAFAFA,6,7,1,10,999,"2015-08-05 15:56:29","2015-08-05 15:56:29"
15,10,#2f74a9,#FAFAFA,4,5,1,10,999,"2015-08-05 15:56:29","2015-08-05 15:56:29"
16,,#ECC271,,1,6,0,16,999,"2015-08-05 15:56:29","2016-02-10 16:32:13"
17,16,#ff8c4d,,2,3,1,16,999,"2015-08-05 15:56:29","2015-08-05 15:56:29"
20,,#6666CC,#FAFAFA,1,2,0,3,999,"2015-08-05 15:56:29","2015-08-05 15:56:29"
21,,#000080,#FAFAFA,1,2,0,4,999,"2015-08-05 15:56:29","2016-02-10 16:31:46"
22,,#1A1A1A,#FAFAFA,1,2,0,21,999,"2015-08-05 15:56:29","2016-02-10 16:33:26"
23,39,#CE212D,#FAFAFA,2,1,1,22,999,"2015-08-05 15:56:29","2016-02-11 13:14:14"
24,39,#E23179,#FAFAFA,2,7,1,22,999,"2015-08-05 15:56:29","2016-02-11 13:14:05"
25,24,#44CFE8,,3,4,2,22,999,"2015-08-05 15:56:29","2016-02-10 16:22:15"
26,24," #7d4821",#FAFAFA,5,6,2,22,999,"2015-08-05 15:56:29","2015-08-05 15:56:29"
27,34,#92c079,,2,3,1,31,999,"2015-08-05 15:56:29","2015-08-05 15:56:29"
30,,#EEEE99,,1,2,0,37,999,"2015-08-05 15:56:29","2016-02-10 16:32:55"
31,,#EC986D,,1,2,0,38,999,"2015-08-05 15:56:29","2016-02-10 16:32:39"
32,,#A00D18,#FAFAFA,1,2,0,34,999,"2015-08-05 15:56:29","2016-02-10 16:33:49"
34,,#125C62,#FAFAFA,1,4,0,31,999,"2015-08-05 15:56:29","2016-02-10 16:32:22"
37,,#ffffff,,1,2,0,39,999,"2015-08-05 15:56:29","2015-08-05 15:56:29"
39,,,,1,8,0,22,999,"2016-02-11 13:13:22","2016-02-11 13:13:22"
40,16,#1887F0,#FFFFFF,4,5,1,16,999,"2018-01-03 17:16:29","2018-01-03 17:17:41"
